Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Bad Ragaz
Altitude [m asl]:         497 m
Coordinates:              47° 1.0' N / 9° 30.2' E

Reference date of homogenization:
         Temperature:     01.12.2009

Last inhomogeneity provisionally corrected:
         Temperature:     no

Units:
         Temperature:     °C

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month        Temperature  
1909      9               13.5  
1909     10               11.0  
1909     11                2.0  
1909     12                2.9  
1910      1                0.0  
1910      2                2.1  
1910      3                5.4  
1910      4                8.3  
1910      5               11.6  
1910      6               16.5  
1910      7               15.6  
1910      8               16.6  
1910      9               11.9  
1910     10               11.1  
1910     11                3.2  
1910     12                4.3  
1911      1               -3.7  
1911      2                0.2  
1911      3                5.2  
1911      4                7.9  
1911      5               13.7  
1911      6               15.7  
1911      7               20.7  
1911      8               20.2  
1911      9               15.8  
1911     10               10.3  
1911     11                6.4  
1911     12                3.3  
1912      1                1.9  
1912      2                5.6  
1912      3                7.1  
1912      4                7.8  
1912      5               13.6  
1912      6               16.4  
1912      7               17.2  
1912      8               14.5  
1912      9                9.7  
1912     10                7.9  
1912     11                1.7  
1912     12                2.0  
1913      1                1.7  
1913      2                1.4  
1913      3                7.5  
1913      4                8.8  
1913      5               13.0  
1913      6               15.9  
1913      7               14.6  
1913      8               16.0  
1913      9               13.8  
1913     10               11.9  
1913     11                6.8  
1913     12                0.7  
1914      1               -5.1  
1914      2                4.7  
1914      3                5.1  
1914      4               11.1  
1914      5               11.7  
1914      6               14.5  
1914      7               16.3  
1914      8               17.3  
1914      9               13.3  
1914     10                9.3  
1914     11                3.9  
1914     12                3.8  
1915      1               -0.8  
1915      2                1.8  
1915      3                3.2  
1915      4                7.7  
1915      5               15.8  
1915      6               18.3  
1915      7               16.7  
1915      8               15.8  
1915      9               12.4  
1915     10                7.5  
1915     11                1.7  
1915     12                4.8  
1916      1                1.8  
1916      2                2.2  
1916      3                5.7  
1916      4                8.8  
1916      5               13.9  
1916      6               13.6  
1916      7               16.8  
1916      8               16.7  
1916      9               12.2  
1916     10                9.3  
1916     11                5.3  
1916     12                2.1  
1917      1               -2.7  
1917      2               -0.8  
1917      3                3.2  
1917      4                5.2  
1917      5               16.3  
1917      6               18.5  
1917      7               18.0  
1917      8               16.9  
1917      9               16.4  
1917     10                6.8  
1917     11                2.9  
1917     12               -2.2  
1918      1                0.9  
1918      2                1.6  
1918      3                5.6  
1918      4                9.5  
1918      5               15.0  
1918      6               13.7  
1918      7               17.7  
1918      8               16.8  
1918      9               14.5  
1918     10                8.1  
1918     11                4.1  
1918     12                1.9  
1919      1                0.1  
1919      2                0.0  
1919      3                5.0  
1919      4                5.9  
1919      5               12.0  
1919      6               16.0  
1919      7               15.2  
1919      8               19.1  
1919      9               16.3  
1919     10                6.0  
1919     11                2.1  
1919     12                0.2  
1920      1                1.6  
1920      2                3.6  
1920      3                7.2  
1920      4                9.7  
1920      5               15.7  
1920      6               15.9  
1920      7               17.4  
1920      8               15.9  
1920      9               14.3  
1920     10                9.9  
1920     11                4.4  
1920     12                0.0  
1921      1                2.7  
1921      2                1.8  
1921      3                7.2  
1921      4                8.3  
1921      5               15.0  
1921      6               15.9  
1921      7               20.3  
1921      8               17.9  
1921      9               16.0  
1921     10               11.9  
1921     11                0.2  
1921     12                0.6  
1922      1               -1.7  
1922      2                0.1  
1922      3                5.6  
1922      4                7.4  
1922      5               15.0  
1922      6               16.6  
1922      7               16.4  
1922      8               17.2  
1922      9               11.7  
1922     10                7.6  
1922     11                1.4  
1922     12                0.1  
1923      1               -1.0  
1923      2                3.0  
1923      3                5.9  
1923      4                9.0  
1923      5               13.4  
1923      6               12.7  
1923      7               20.3  
1923      8               18.6  
1923      9               13.6  
1923     10               11.4  
1923     11                5.5  
1923     12               -0.3  
1924      1               -1.0  
1924      2               -2.0  
1924      3                4.3  
1924      4                8.9  
1924      5               14.1  
1924      6               15.6  
1924      7               17.7  
1924      8               14.5  
1924      9               14.4  
1924     10               10.1  
1924     11                5.4  
1924     12                1.4  
1925      1                2.3  
1925      2                3.7  
1925      3                1.7  
1925      4                9.2  
1925      5               13.7  
1925      6               17.3  
1925      7               17.6  
1925      8               17.2  
1925      9               12.0  
1925     10               10.1  
1925     11                2.7  
1925     12               -0.4  
1926      1                0.4  
1926      2                6.4  
1926      3                5.5  
1926      4               10.3  
1926      5               11.4  
1926      6               13.2  
1926      7               16.7  
1926      8               17.3  
1926      9               16.5  
1926     10                9.8  
1926     11                8.1  
1926     12               -1.1  
1927      1                0.2  
1927      2                0.4  
1927      3                5.6  
1927      4                8.7  
1927      5               13.6  
1927      6               16.1  
1927      7               17.4  
1927      8               16.7  
1927      9               14.3  
1927     10                9.0  
1927     11                5.8  
1927     12                0.5  
1928      1                1.4  
1928      2                2.9  
1928      3                6.2  
1928      4                9.1  
1928      5               10.2  
1928      6               16.4  
1928      7               20.8  
1928      8               18.3  
1928      9               14.1  
1928     10                9.7  
1928     11                5.4  
1928     12               -0.8  
1929      1               -4.5  
1929      2               -6.0  
1929      3                4.2  
1929      4                6.0  
1929      5               13.7  
1929      6               16.9  
1929      7               19.2  
1929      8               17.3  
1929      9               17.0  
1929     10               10.7  
1929     11                6.0  
1929     12                3.0  
1930      1                3.5  
1930      2                1.1  
1930      3                6.7  
1930      4                9.7  
1930      5               12.2  
1930      6               19.3  
1930      7               17.2  
1930      8               16.9  
1930      9               14.7  
1930     10                9.2  
1930     11                6.7  
1930     12               -0.2  
1931      1               -1.1  
1931      2               -0.9  
1931      3                1.8  
1931      4                7.9  
1931      5               15.6  
1931      6               18.4  
1931      7               17.0  
1931      8               15.5  
1931      9               10.3  
1931     10                8.7  
1931     11                6.3  
1931     12               -2.3  
1932      1                0.9  
1932      2               -3.4  
1932      3                3.3  
1932      4                7.6  
1932      5               12.2  
1932      6               15.4  
1932      7               17.3  
1932      8               19.8  
1932      9               17.5  
1932     10                9.2  
1932     11                5.0  
1932     12                3.6  
1933      1               -1.9  
1933      2                1.0  
1933      3                6.3  
1933      4                9.1  
1933      5               11.6  
1933      6               13.7  
1933      7               18.6  
1933      8               18.4  
1933      9               15.1  
1933     10               10.4  
1933     11                4.0  
1933     12               -3.6  
1934      1               -0.2  
1934      2                0.3  
1934      3                5.2  
1934      4               11.7  
1934      5               15.3  
1934      6               16.2  
1934      7               18.9  
1934      8               16.3  
1934      9               15.7  
1934     10                9.0  
1934     11                4.0  
1934     12                4.8  
1935      1               -3.0  
1935      2                0.8  
1935      3                3.6  
1935      4                7.7  
1935      5               11.5  
1935      6               18.4  
1935      7               19.0  
1935      8               16.9  
1935      9               15.0  
1935     10                9.3  
1935     11                6.3  
1935     12                0.0  
1936      1                4.8  
1936      2                2.2  
1936      3                7.1  
1936      4                8.9  
1936      5               13.5  
1936      6               16.0  
1936      7               16.8  
1936      8               16.9  
1936      9               14.6  
1936     10                6.0  
1936     11                3.4  
1936     12                0.8  
1937      1                2.0  
1937      2                3.2  
1937      3                4.3  
1937      4                8.6  
1937      5               15.4  
1937      6               17.8  
1937      7               18.5  
1937      8               17.2  
1937      9               13.8  
1937     10               10.6  
1937     11                4.0  
1937     12               -0.5  
1938      1               -0.3  
1938      2                0.0  
1938      3                6.9  
1938      4                5.7  
1938      5               11.8  
1938      6               17.5  
1938      7               17.6  
1938      8               17.5  
1938      9               15.3  
1938     10                8.9  
1938     11                6.5  
1938     12               -0.1  
1939      1                3.4  
1939      2                1.5  
1939      3                1.8  
1939      4               10.8  
1939      5               10.2  
1939      6               16.7  
1939      7               17.1  
1939      8               17.7  
1939      9               13.5  
1939     10                9.0  
1939     11                6.6  
1939     12               -0.9  
1940      1               -5.9  
1940      2                0.1  
1940      3                4.5  
1940      4                9.8  
1940      5               12.9  
1940      6               16.1  
1940      7               16.7  
1940      8               16.0  
1940      9               14.1  
1940     10                9.4  
1940     11                5.6  
1940     12               -6.5  
1941      1               -3.5  
1941      2                2.6  
1941      3                6.0  
1941      4                7.7  
1941      5               10.3  
1941      6               17.2  
1941      7               19.2  
1941      8               16.1  
1941      9               13.5  
1941     10                8.1  
1941     11                4.5  
1941     12               -1.0  
1942      1               -5.2  
1942      2               -3.3  
1942      3                6.4  
1942      4                9.7  
1942      5               13.8  
1942      6               16.7  
1942      7               17.6  
1942      8               17.8  
1942      9               16.7  
1942     10               12.6  
1942     11                2.0  
1942     12                2.9  
1943      1                1.0  
1943      2                2.9  
1943      3                8.5  
1943      4               10.5  
1943      5               14.2  
1943      6               15.0  
1943      7               18.4  
1943      8               19.9  
1943      9               15.6  
1943     10               12.4  
1943     11                3.3  
1943     12                0.9  
1944      1                0.1  
1944      2               -2.2  
1944      3                0.8  
1944      4               10.9  
1944      5               13.2  
1944      6               15.3  
1944      7               18.0  
1944      8               21.1  
1944      9               14.1  
1944     10                9.4  
1944     11                3.8  
1944     12               -0.3  
1945      1               -6.1  
1945      2                3.7  
1945      3                5.8  
1945      4               10.7  
1945      5               15.7  
1945      6               18.2  
1945      7               19.6  
1945      8               17.5  
1945      9               15.0  
1945     10               10.0  
1945     11                2.4  
1945     12                1.2  
1946      1               -2.4  
1946      2                2.9  
1946      3                6.9  
1946      4               12.6  
1946      5               15.2  
1946      6               15.5  
1946      7               19.0  
1946      8               17.4  
1946      9               15.3  
1946     10                8.8  
1946     11                4.2  
1946     12               -1.0  
1947      1               -3.3  
1947      2                0.6  
1947      3                7.3  
1947      4               12.3  
1947      5               16.3  
1947      6               18.6  
1947      7               20.0  
1947      8               20.0  
1947      9               17.9  
1947     10                9.8  
1947     11                6.1  
1947     12                0.5  
1948      1                4.2  
1948      2                2.0  
1948      3                8.9  
1948      4               11.4  
1948      5               15.8  
1948      6               15.7  
1948      7               15.8  
1948      8               17.8  
1948      9               15.0  
1948     10               10.3  
1948     11                4.4  
1948     12               -0.3  
1949      1                0.5  
1949      2                1.3  
1949      3                3.5  
1949      4               12.6  
1949      5               12.7  
1949      6               16.8  
1949      7               19.9  
1949      8               18.7  
1949      9               18.2  
1949     10               12.0  
1949     11                4.7  
1949     12                2.6  
1950      1               -1.2  
1950      2                3.8  
1950      3                6.5  
1950      4                8.1  
1950      5               15.9  
1950      6               19.1  
1950      7               20.5  
1950      8               18.3  
1950      9               14.0  
1950     10                9.1  
1950     11                5.4  
1950     12               -0.8  
1951      1                2.0  
1951      2                3.6  
1951      3                4.4  
1951      4                9.3  
1951      5               13.3  
1951      6               16.4  
1951      7               18.7  
1951      8               18.2  
1951      9               15.8  
1951     10                8.8  
1951     11                8.1  
1951     12                2.1  
1952      1               -1.2  
1952      2               -1.5  
1952      3                5.9  
1952      4               11.8  
1952      5               14.6  
1952      6               17.9  
1952      7               21.0  
1952      8               18.9  
1952      9               11.7  
1952     10                8.8  
1952     11                2.6  
1952     12                0.2  
1953      1               -4.2  
1953      2               -1.3  
1953      3                5.9  
1953      4               10.9  
1953      5               14.8  
1953      6               15.4  
1953      7               18.5  
1953      8               17.6  
1953      9               16.5  
1953     10               11.6  
1953     11                3.5  
1953     12                3.7  
1954      1               -3.2  
1954      2               -1.0  
1954      3                7.5  
1954      4                7.2  
1954      5               12.4  
1954      6               16.6  
1954      7               15.8  
1954      8               16.5  
1954      9               15.0  
1954     10                9.7  
1954     11                6.2  
1954     12                1.7  
1955      1                1.4  
1955      2                0.8  
1955      3                2.9  
1955      4                8.8  
1955      5               12.5  
1955      6               16.4  
1955      7               17.5  
1955      8               16.6  
1955      9               13.8  
1955     10                8.5  
1955     11                3.5  
1955     12                3.5  
1956      1                2.4  
1956      2               -9.6  
1956      3                5.8  
1956      4                8.2  
1956      5               13.6  
1956      6               13.9  
1956      7               17.8  
1956      8               16.3  
1956      9               16.1  
1956     10                7.9  
1956     11                2.0  
1956     12                1.0  
1957      1               -1.2  
1957      2                5.7  
1957      3                9.1  
1957      4                9.0  
1957      5               10.2  
1957      6               17.3  
1957      7               17.8  
1957      8               16.2  
1957      9               13.3  
1957     10                9.1  
1957     11                5.1  
1957     12                1.2  
1958      1               -0.6  
1958      2                3.1  
1958      3                1.2  
1958      4                6.6  
1958      5               16.1  
1958      6               16.1  
1958      7               18.4  
1958      8               18.3  
1958      9               16.2  
1958     10                8.4  
1958     11                3.8  
1958     12                2.7  
1959      1                0.2  
1959      2                2.2  
1959      3                9.4  
1959      4               10.6  
1959      5               14.1  
1959      6               16.2  
1959      7               19.3  
1959      8               17.7  
1959      9               15.5  
1959     10                9.9  
1959     11                3.9  
1959     12                3.7  
1960      1                0.4  
1960      2                3.0  
1960      3                7.9  
1960      4                9.1  
1960      5               14.9  
1960      6               17.4  
1960      7               15.9  
1960      8               17.1  
1960      9               13.3  
1960     10               10.8  
1960     11                7.4  
1960     12                0.8  
1961      1                0.4  
1961      2                5.2  
1961      3                6.8  
1961      4               12.5  
1961      5               11.9  
1961      6               17.3  
1961      7               17.0  
1961      8               17.2  
1961      9               18.2  
1961     10               11.6  
1961     11                4.6  
1961     12                2.2  
1962      1                1.9  
1962      2                0.4  
1962      3                3.0  
1962      4                9.5  
1962      5               11.4  
1962      6               15.8  
1962      7               17.4  
1962      8               18.7  
1962      9               14.7  
1962     10               10.2  
1962     11                4.6  
1962     12               -3.5  
1963      1               -5.8  
1963      2               -4.0  
1963      3                3.7  
1963      4               10.4  
1963      5               12.4  
1963      6               16.2  
1963      7               19.1  
1963      8               16.8  
1963      9               14.6  
1963     10                9.2  
1963     11                9.0  
1963     12               -1.9  
1964      1               -3.2  
1964      2                3.2  
1964      3                3.9  
1964      4               10.5  
1964      5               15.2  
1964      6               18.1  
1964      7               19.9  
1964      8               17.1  
1964      9               15.1  
1964     10                8.4  
1964     11                4.8  
1964     12               -0.4  
1965      1                2.3  
1965      2               -3.4  
1965      3                5.2  
1965      4                7.4  
1965      5               12.4  
1965      6               16.7  
1965      7               16.5  
1965      8               16.5  
1965      9               13.3  
1965     10                9.0  
1965     11                4.6  
1965     12                2.2  
1966      1               -2.3  
1966      2                7.4  
1966      3                3.7  
1966      4               10.9  
1966      5               13.7  
1966      6               17.4  
1966      7               15.9  
1966      8               15.4  
1966      9               15.5  
1966     10               13.4  
1966     11                3.6  
1966     12                0.9  
1967      1               -0.8  
1967      2                3.7  
1967      3                6.1  
1967      4                7.9  
1967      5               13.4  
1967      6               15.5  
1967      7               19.7  
1967      8               17.8  
1967      9               13.7  
1967     10               11.5  
1967     11                5.7  
1967     12               -2.2  
1968      1               -1.7  
1968      2                2.6  
1968      3                5.3  
1968      4               10.9  
1968      5               13.0  
1968      6               16.4  
1968      7               17.4  
1968      8               16.1  
1968      9               13.4  
1968     10               11.2  
1968     11                4.5  
1968     12               -1.6  
1969      1                1.0  
1969      2                0.3  
1969      3                5.0  
1969      4                8.5  
1969      5               15.0  
1969      6               14.2  
1969      7               19.0  
1969      8               16.7  
1969      9               15.5  
1969     10               10.3  
1969     11                5.3  
1969     12               -4.7  
1970      1                2.4  
1970      2                0.6  
1970      3                2.2  
1970      4                6.6  
1970      5               11.7  
1970      6               18.2  
1970      7               17.7  
1970      8               17.6  
1970      9               15.2  
1970     10                9.2  
1970     11                6.2  
1970     12               -1.7  
1971      1               -1.1  
1971      2               -0.3  
1971      3                1.3  
1971      4               11.8  
1971      5               15.2  
1971      6               14.8  
1971      7               19.4  
1971      8               19.0  
1971      9               13.5  
1971     10                9.8  
1971     11                3.3  
1971     12                0.2  
1972      1                0.6  
1972      2                7.0  
1972      3                8.4  
1972      4                8.2  
1972      5               12.4  
1972      6               15.3  
1972      7               17.3  
1972      8               16.8  
1972      9               11.7  
1972     10                7.5  
1972     11                4.4  
1972     12                1.0  
1973      1                0.1  
1973      2               -0.5  
1973      3                3.4  
1973      4                6.1  
1973      5               15.1  
1973      6               17.2  
1973      7               17.3  
1973      8               19.5  
1973      9               15.4  
1973     10                8.0  
1973     11                3.9  
1973     12                1.0  
1974      1                3.4  
1974      2                4.3  
1974      3                8.3  
1974      4                9.1  
1974      5               12.5  
1974      6               14.6  
1974      7               17.4  
1974      8               18.6  
1974      9               14.2  
1974     10                5.3  
1974     11                5.3  
1974     12                2.7  
1975      1                4.7  
1975      2                2.8  
1975      3                4.7  
1975      4                8.0  
1975      5               13.6  
1975      6               15.0  
1975      7               18.0  
1975      8               17.9  
1975      9               17.5  
1975     10                7.9  
1975     11                4.1  
1975     12               -1.2  
1976      1                0.5  
1976      2                1.5  
1976      3                4.5  
1976      4                8.9  
1976      5               14.5  
1976      6               18.3  
1976      7               18.8  
1976      8               15.9  
1976      9               13.4  
1976     10               12.2  
1976     11                5.1  
1976     12               -1.2  
1977      1                2.2  
1977      2                5.1  
1977      3                8.4  
1977      4                6.9  
1977      5               13.3  
1977      6               16.6  
1977      7               17.6  
1977      8               16.1  
1977      9               13.1  
1977     10               11.2  
1977     11                4.7  
1977     12                1.6  
1978      1                0.5  
1978      2                1.3  
1978      3                6.4  
1978      4                8.4  
1978      5               11.7  
1978      6               15.5  
1978      7               17.2  
1978      8               16.3  
1978      9               13.7  
