Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Sargans
Altitude [m asl]:         585 m
Coordinates:              47° 3.2' N / 9° 26.4' E

Reference date of homogenization:
         Precipitation:   01.12.2019

Last inhomogeneity provisionally corrected:
         Precipitation:   no

Units:
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month      Precipitation  
1929      8              154.4  
1929      9               32.9  
1929     10              130.5  
1929     11               39.6  
1929     12              155.7  
1930      1               24.4  
1930      2               17.5  
1930      3               61.2  
1930      4              112.3  
1930      5              182.9  
1930      6               36.6  
1930      7              202.9  
1930      8              192.5  
1930      9              159.8  
1930     10              192.0  
1930     11              117.1  
1930     12               65.7  
1931      1              175.4  
1931      2              119.3  
1931      3              103.9  
1931      4               67.9  
1931      5               96.8  
1931      6              159.3  
1931      7              228.5  
1931      8              200.7  
1931      9              122.4  
1931     10               72.5  
1931     11               14.7  
1931     12               70.4  
1932      1              126.6  
1932      2               11.8  
1932      3              104.5  
1932      4               90.4  
1932      5              216.0  
1932      6               68.7  
1932      7              185.0  
1932      8              128.4  
1932      9               64.2  
1932     10              153.8  
1932     11               74.4  
1932     12                5.5  
1933      1               63.9  
1933      2               98.2  
1933      3               83.3  
1933      4               81.0  
1933      5              231.5  
1933      6              191.0  
1933      7              181.0  
1933      8               90.7  
1933      9              102.1  
1933     10              142.6  
1933     11               64.6  
1933     12               24.2  
1934      1               89.5  
1934      2                9.2  
1934      3               61.8  
1934      4               45.7  
1934      5               29.1  
1934      6              239.8  
1934      7              127.1  
1934      8              287.4  
1934      9               69.3  
1934     10              114.2  
1934     11               38.6  
1934     12               80.8  
1935      1              129.3  
1935      2              251.3  
1935      3              142.5  
1935      4              157.9  
1935      5              116.6  
1935      6               89.2  
1935      7              130.3  
1935      8              182.2  
1935      9               74.7  
1935     10              263.2  
1935     11               74.5  
1935     12              154.5  
1936      1              100.1  
1936      2               67.8  
1936      3               37.3  
1936      4              124.5  
1936      5              124.8  
1936      6              146.6  
1936      7              298.3  
1936      8              100.0  
1936      9              163.7  
1936     10              124.1  
1936     11               33.2  
1936     12              135.8  
1937      1              111.6  
1937      2              218.8  
1937      3              109.9  
1937      4              102.8  
1937      5               80.7  
1937      6               70.9  
1937      7              186.9  
1937      8              180.4  
1937      9              153.0  
1937     10               62.8  
1937     11               66.3  
1937     12               78.2  
1938      1              175.5  
1938      2              105.7  
1938      3               69.6  
1938      4               63.4  
1938      5               99.2  
1938      6              154.9  
1938      7              137.0  
1938      8              163.7  
1938      9               43.0  
1938     10               47.3  
1938     11               12.2  
1938     12               91.0  
1939      1               58.8  
1939      2               20.5  
1939      3              190.9  
1939      4               61.3  
1939      5              196.7  
1939      6              109.4  
1939      7              228.4  
1939      8              122.8  
1939      9              106.9  
1939     10              175.1  
